dst_port,flow_duration,Header_Length,Protocol_Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ece_flag_number,cwr_flag_number,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SSH,IRC,TCP,UDP,DHCP,ICMP,Tot_sum,Min,Max,AVG,Std,Tot_size,IAT,Number,Magnitude,Radius,Covariance,Variance,Weight,total_fwd_packets,total_bwd_packets,total_length_fwd_packets,total_length_bwd_packets,fwd_packet_length_mean,fwd_packet_length_max,fwd_packet_length_min,fwd_packet_length_std,bwd_packet_length_mean,bwd_packet_length_max,bwd_packet_length_min,bwd_packet_length_std,flow_bytes_s,flow_packets_s,fwd_iat_mean,fwd_iat_max,fwd_iat_min,fwd_iat_std,bwd_iat_mean,bwd_iat_max,bwd_iat_min,bwd_iat_std,down_up_ratio,label
80.0,3976.8218994140634,540.0,6.0,0.003976821899414,2514.570743405276,2514.570743405276,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,441.8690999348958,10.0,54.0,0.0,0.0,0.0,0.0397682189941406,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,135786.8201438849,2514.570743405276,441.8690999348958,850.9159088134766,190.9732818603516,248.48555189736817,0.0,0.0,0.0,0.0,0.0,DDoS_PSHACK_Flood
80.0,23579.120635986328,540.0,6.0,0.0235791206359863,424.10402637060406,424.10402637060406,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,2619.9022928873696,10.0,54.0,0.0,0.0,0.0,0.2357912063598632,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,22901.61742401262,424.10402637060406,2619.9022928873696,19093.036651611328,210.04676818847656,6180.371223134743,0.0,0.0,0.0,0.0,0.0,DDoS_PSHACK_Flood
80.0,5162.00065612793,540.0,6.0,0.0051620006561279,1937.2333841393008,1937.2333841393008,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,573.5556284586588,10.0,54.0,0.0,0.0,0.0,0.0516200065612793,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,104610.60274352223,1937.2333841393008,573.5556284586588,1305.8185577392578,243.18695068359372,403.58279889056274,0.0,0.0,0.0,0.0,0.0,DDoS_PSHACK_Flood
80.0,3978.0139923095694,540.0,6.0,0.0039780139923095,2513.817201078813,2513.817201078813,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,442.00155470106336,10.0,54.0,0.0,0.0,0.0,0.0397801399230957,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,135746.12885825592,2513.817201078813,442.00155470106336,1164.9131774902344,200.9868621826172,301.9265722563453,0.0,0.0,0.0,0.0,0.0,DDoS_PSHACK_Flood
80.0,3411.0546112060547,540.0,6.0,0.003411054611206,2931.6446494722863,2931.6446494722863,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,379.0060679117839,10.0,54.0,0.0,0.0,0.0,0.0341105461120605,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,158308.81107150347,2931.6446494722863,379.0060679117839,765.0852203369141,243.90220642089844,171.8636652029748,0.0,0.0,0.0,0.0,0.0,DDoS_PSHACK_Flood
80.0,9221.076965332031,540.0,6.0,0.009221076965332,1084.4720239942085,1084.4720239942085,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,1024.5641072591145,10.0,54.0,0.0,0.0,0.0,0.0922107696533203,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,58561.48929568725,1084.4720239942085,1024.5641072591145,2362.01286315918,283.95652770996094,583.6623530524174,0.0,0.0,0.0,0.0,0.0,DDoS_PSHACK_Flood
80.0,1825.094223022461,540.0,6.0,0.0018250942230224,5479.169170476813,5479.169170476813,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,202.78824700249567,10.0,54.0,0.0,0.0,0.0,0.0182509422302246,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,295875.13520574785,5479.169170476813,202.78824700249567,257.9689025878906,183.8207244873047,23.38450915509732,0.0,0.0,0.0,0.0,0.0,DDoS_PSHACK_Flood
80.0,3702.878952026367,540.0,6.0,0.0037028789520263,2700.6013778893825,2700.6013778893825,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,411.4309946695964,10.0,54.0,0.0,0.0,0.0,0.0370287895202636,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,145832.47440602665,2700.6013778893825,411.4309946695964,1019.001007080078,199.79476928710935,270.83385141385503,0.0,0.0,0.0,0.0,0.0,DDoS_PSHACK_Flood
80.0,5798.101425170898,540.0,6.0,0.0057981014251708,1724.7024959907892,1724.7024959907892,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,644.2334916856554,10.0,54.0,0.0,0.0,0.0,0.0579810142517089,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,93133.9347835026,1724.7024959907892,644.2334916856554,2347.9461669921875,221.9676971435547,664.5344748442195,0.0,0.0,0.0,0.0,0.0,DDoS_PSHACK_Flood
80.0,4700.183868408203,540.0,6.0,0.0047001838684082,2127.5763416861114,2127.5763416861114,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,522.242652045356,10.0,54.0,0.0,0.0,0.0,0.047001838684082,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,114889.12245105002,2127.5763416861114,522.242652045356,1041.1739349365234,219.10667419433597,261.89689774734904,0.0,0.0,0.0,0.0,0.0,DDoS_PSHACK_Flood
80.0,9573.936462402344,540.0,6.0,0.0095739364624023,1044.5024404821197,1044.5024404821197,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,1063.7707180447048,10.0,54.0,0.0,0.0,0.0,0.0957393646240234,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,56403.131786034464,1044.5024404821197,1063.7707180447048,1379.0130615234375,575.0656127929688,274.13346498728896,0.0,0.0,0.0,0.0,0.0,DDoS_PSHACK_Flood
80.0,2336.0252380371094,540.0,6.0,0.0023360252380371,4280.775668503777,4280.775668503777,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,259.55835978190106,10.0,54.0,0.0,0.0,0.0,0.023360252380371,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,231161.88609920396,4280.775668503777,259.55835978190106,303.9836883544922,170.9461212158203,37.44348413933189,0.0,0.0,0.0,0.0,0.0,DDoS_PSHACK_Flood
80.0,3698.110580444336,540.0,6.0,0.0036981105804443,2704.0835536071177,2704.0835536071177,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,410.9011756049262,10.0,54.0,0.0,0.0,0.0,0.0369811058044433,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,146020.51189478434,2704.0835536071177,410.9011756049262,931.9782257080078,134.94491577148438,258.01517497485685,0.0,0.0,0.0,0.0,0.0,DDoS_PSHACK_Flood
80.0,1804.1133880615237,540.0,6.0,0.0018041133880615,5542.888859521607,5542.888859521607,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,200.45704311794705,10.0,54.0,0.0,0.0,0.0,0.0180411338806152,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,299315.9984141668,5542.888859521607,200.45704311794705,265.1214599609375,160.9325408935547,37.43831798368316,0.0,0.0,0.0,0.0,0.0,DDoS_PSHACK_Flood
80.0,2393.960952758789,540.0,6.0,0.0023939609527587,4177.177571954984,4177.177571954984,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,265.99566141764325,10.0,54.0,0.0,0.0,0.0,0.0239396095275878,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,225567.5888855692,4177.177571954984,265.99566141764325,338.0775451660156,199.79476928710935,44.3234181810066,0.0,0.0,0.0,0.0,0.0,DDoS_PSHACK_Flood
80.0,4099.130630493164,540.0,6.0,0.0040991306304931,2439.541673937068,2439.541673937068,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,455.4589589436849,10.0,54.0,0.0,0.0,0.0,0.0409913063049316,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,131735.25039260165,2439.541673937068,455.4589589436849,786.0660552978516,205.99365234375,212.34745092717264,0.0,0.0,0.0,0.0,0.0,DDoS_PSHACK_Flood
80.0,8111.953735351562,540.0,6.0,0.0081119537353515,1232.7486480131672,1232.7486480131672,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,901.3281928168404,10.0,54.0,0.0,0.0,0.0,0.0811195373535156,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,66568.42699271103,1232.7486480131672,901.3281928168404,3817.79670715332,202.8942108154297,1172.1426455569983,0.0,0.0,0.0,0.0,0.0,DDoS_PSHACK_Flood
80.0,3886.938095092773,540.0,6.0,0.0038869380950927,2572.7191314482,2572.7191314482,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,431.8820105658637,10.0,54.0,0.0,0.0,0.0,0.0388693809509277,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,138926.8330982028,2572.7191314482,431.8820105658637,1045.9423065185547,208.85467529296875,292.6268315162065,0.0,0.0,0.0,0.0,0.0,DDoS_PSHACK_Flood
80.0,6145.000457763672,540.0,6.0,0.0061450004577636,1627.3391790176147,1627.3391790176147,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,682.777828640408,10.0,54.0,0.0,0.0,0.0,0.0614500045776367,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,87876.3156669512,1627.3391790176147,682.777828640408,2779.0069580078125,213.8614654541016,810.7532875185118,0.0,0.0,0.0,0.0,0.0,DDoS_PSHACK_Flood
80.0,3965.139389038086,540.0,6.0,0.003965139389038,2521.979435993025,2521.979435993025,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,440.571043226454,10.0,54.0,0.0,0.0,0.0,0.0396513938903808,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,136186.88954362334,2521.979435993025,440.571043226454,1312.9711151123047,198.84109497070312,366.9030602600238,0.0,0.0,0.0,0.0,0.0,DDoS_PSHACK_Flood
