dst_port,flow_duration,Header_Length,Protocol_Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ece_flag_number,cwr_flag_number,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SSH,IRC,TCP,UDP,DHCP,ICMP,Tot_sum,Min,Max,AVG,Std,Tot_size,IAT,Number,Magnitude,Radius,Covariance,Variance,Weight,total_fwd_packets,total_bwd_packets,total_length_fwd_packets,total_length_bwd_packets,fwd_packet_length_mean,fwd_packet_length_max,fwd_packet_length_min,fwd_packet_length_std,bwd_packet_length_mean,bwd_packet_length_max,bwd_packet_length_min,bwd_packet_length_std,flow_bytes_s,flow_packets_s,fwd_iat_mean,fwd_iat_max,fwd_iat_min,fwd_iat_std,bwd_iat_mean,bwd_iat_max,bwd_iat_min,bwd_iat_std,down_up_ratio,label
80.0,2465.963363647461,540.0,6.0,0.0024659633636474,4055.21028715073,4055.21028715073,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,273.99592929416235,10.0,54.0,0.0,0.0,0.0,0.0246596336364746,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,218981.35550613943,4055.21028715073,273.99592929416235,370.025634765625,246.0479736328125,37.5169982561796,0.0,0.0,0.0,0.0,0.0,DDoS_SYN_Flood
80.0,2125.978469848633,540.0,6.0,0.0021259784698486,4703.716496579567,4703.716496579567,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,236.21982998318143,10.0,54.0,0.0,0.0,0.0,0.0212597846984863,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,254000.69081529664,4703.716496579567,236.21982998318143,341.8922424316406,177.86026000976562,51.20865027149721,0.0,0.0,0.0,0.0,0.0,DDoS_SYN_Flood
80.0,29892.921447753903,540.0,6.0,0.0298929214477539,334.5273568352209,334.5273568352209,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,3321.4357164171006,10.0,54.0,0.0,0.0,0.0,0.298929214477539,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,18064.47726910193,334.5273568352209,3321.4357164171006,27732.133865356445,182.86705017089844,9155.050492804196,0.0,0.0,0.0,0.0,0.0,DDoS_SYN_Flood
80.0,2917.051315307617,540.0,6.0,0.0029170513153076,3428.119329791581,3428.119329791581,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,324.11681281195746,10.0,54.0,0.0,0.0,0.0,0.0291705131530761,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,185118.4438087454,3428.119329791581,324.11681281195746,679.01611328125,229.1202545166016,138.17010346027809,0.0,0.0,0.0,0.0,0.0,DDoS_SYN_Flood
80.0,37649.86991882324,540.0,6.0,0.0376498699188232,265.6051673368584,265.6051673368584,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,4183.318879869249,10.0,54.0,0.0,0.0,0.0,0.3764986991882324,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,14342.679036190357,265.6051673368584,4183.318879869249,35690.7844543457,209.0930938720703,11815.377456487358,0.0,0.0,0.0,0.0,0.0,DDoS_SYN_Flood
80.0,1909.9712371826167,540.0,6.0,0.0019099712371826,5235.680938709274,5235.680938709274,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,212.21902635362412,10.0,54.0,0.0,0.0,0.0,0.0190997123718261,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,282726.77069030085,5235.680938709274,212.21902635362412,300.8842468261719,173.09188842773438,41.44601068070245,0.0,0.0,0.0,0.0,0.0,DDoS_SYN_Flood
80.0,2059.9365234375,540.0,6.0,0.0020599365234375,4854.518518518518,4854.518518518518,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,228.8818359375,10.0,54.0,0.0,0.0,0.0,0.020599365234375,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,262144.0,4854.518518518518,228.8818359375,313.9972686767578,180.0060272216797,43.44029693305139,0.0,0.0,0.0,0.0,0.0,DDoS_SYN_Flood
80.0,2370.834350585937,540.0,6.0,0.0023708343505859,4217.924376508448,4217.924376508448,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,263.42603895399304,10.0,54.0,0.0,0.0,0.0,0.0237083435058593,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,227767.91633145616,4217.924376508448,263.42603895399304,284.9102020263672,247.955322265625,14.59787937989224,0.0,0.0,0.0,0.0,0.0,DDoS_SYN_Flood
80.0,5542.993545532227,540.0,6.0,0.0055429935455322,1804.079315239365,1804.079315239365,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,615.888171725803,10.0,54.0,0.0,0.0,0.0,0.0554299354553222,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,97420.28302292572,1804.079315239365,615.888171725803,854.0153503417969,298.0232238769531,225.3022703865076,0.0,0.0,0.0,0.0,0.0,DDoS_SYN_Flood
80.0,2289.0567779541016,540.0,6.0,0.0022890567779541,4368.611602958025,4368.611602958025,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,254.33964199490015,10.0,54.0,0.0,0.0,0.0,0.022890567779541,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,235905.02655973332,4368.611602958025,254.33964199490015,288.9633178710937,184.05914306640625,28.42829839589108,0.0,0.0,0.0,0.0,0.0,DDoS_SYN_Flood
