dst_port,flow_duration,Header_Length,Protocol_Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ece_flag_number,cwr_flag_number,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SSH,IRC,TCP,UDP,DHCP,ICMP,Tot_sum,Min,Max,AVG,Std,Tot_size,IAT,Number,Magnitude,Radius,Covariance,Variance,Weight,total_fwd_packets,total_bwd_packets,total_length_fwd_packets,total_length_bwd_packets,fwd_packet_length_mean,fwd_packet_length_max,fwd_packet_length_min,fwd_packet_length_std,bwd_packet_length_mean,bwd_packet_length_max,bwd_packet_length_min,bwd_packet_length_std,flow_bytes_s,flow_packets_s,fwd_iat_mean,fwd_iat_max,fwd_iat_min,fwd_iat_std,bwd_iat_mean,bwd_iat_max,bwd_iat_min,bwd_iat_std,down_up_ratio,label
143.0,6363.153457641602,540.0,6.0,0.0063631534576416,1571.5478286934692,1571.5478286934692,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,707.0170508490669,10.0,54.0,0.0,0.0,0.0,0.063631534576416,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,84863.58274944733,1571.5478286934692,707.0170508490669,4668.951034545898,136.1370086669922,1487.810000787989,0.0,0.0,0.0,0.0,0.0,Recon_Nmap_Service
1802.0,4558.086395263672,540.0,6.0,0.0045580863952636,2193.9031279422534,2193.9031279422534,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,506.4540439181858,10.0,54.0,0.0,0.0,0.0,0.0455808639526367,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,118470.76890888168,2193.9031279422534,506.4540439181858,2573.9669799804688,144.95849609375,779.8133036877857,0.0,0.0,0.0,0.0,0.0,Recon_Nmap_Service
9639.0,7900.95329284668,540.0,6.0,0.0079009532928466,1265.670056428981,1265.670056428981,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,877.8836992051866,10.0,54.0,0.0,0.0,0.0,0.0790095329284668,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,68346.18304716497,1265.670056428981,877.8836992051866,3561.019897460937,170.9461212158203,1201.7455868447144,0.0,0.0,0.0,0.0,0.0,Recon_Nmap_Service
8500.0,12288.093566894531,540.0,6.0,0.0122880935668945,813.7958866899495,813.7958866899495,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,1365.343729654948,10.0,54.0,0.0,0.0,0.0,0.1228809356689453,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,43944.97788125728,813.7958866899495,1365.343729654948,7780.0750732421875,146.1505889892578,2508.9125683971943,0.0,0.0,0.0,0.0,0.0,Recon_Nmap_Service
5311.0,8787.155151367188,540.0,6.0,0.0087871551513671,1138.024744953332,1138.024744953332,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,976.350572374132,10.0,54.0,0.0,0.0,0.0,0.0878715515136718,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,61453.33622747992,1138.024744953332,976.350572374132,6831.884384155273,149.9652862548828,2197.858000327613,0.0,0.0,0.0,0.0,0.0,Recon_Nmap_Service
9958.0,15771.865844726562,540.0,6.0,0.0157718658447265,634.0403918248882,634.0403918248882,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,1752.4295383029514,10.0,54.0,0.0,0.0,0.0,0.1577186584472656,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,34238.18115854396,634.0403918248882,1752.4295383029514,8141.040802001953,154.01840209960938,2978.2752830703607,0.0,0.0,0.0,0.0,0.0,Recon_Nmap_Service
1992.0,8769.035339355469,540.0,6.0,0.0087690353393554,1140.3762914627514,1140.3762914627514,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,974.3372599283854,10.0,54.0,0.0,0.0,0.0,0.0876903533935546,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,61580.31973898858,1140.3762914627514,974.3372599283854,4448.890686035156,157.1178436279297,1498.949111497202,0.0,0.0,0.0,0.0,0.0,Recon_Nmap_Service
7247.0,5799.055099487305,540.0,6.0,0.0057990550994873,1724.4188628047527,1724.4188628047527,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,644.3394554985894,10.0,54.0,0.0,0.0,0.0,0.057990550994873,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,93118.61859145664,1724.4188628047527,644.3394554985894,3719.0914154052734,154.97207641601562,1157.1376914665786,0.0,0.0,0.0,0.0,0.0,Recon_Nmap_Service
4651.0,4257.917404174805,540.0,6.0,0.0042579174041748,2348.5659891371297,2348.5659891371297,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,473.1019337972005,10.0,54.0,0.0,0.0,0.0,0.042579174041748,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,126822.563413405,2348.5659891371297,473.1019337972005,2264.022827148437,157.83309936523438,677.0021709805595,0.0,0.0,0.0,0.0,0.0,Recon_Nmap_Service
7827.0,2990.0074005126958,540.0,6.0,0.0029900074005126,3344.4733274858463,3344.4733274858463,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,332.2230445014106,10.0,54.0,0.0,0.0,0.0,0.0299000740051269,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,180601.5596842357,3344.4733274858463,332.2230445014106,709.0568542480469,151.8726348876953,187.8843582571478,0.0,0.0,0.0,0.0,0.0,Recon_Nmap_Service
