flow_duration,Header_Length,Protocol_Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IPv,LLC,Tot_sum,Min,Max,AVG,Std,Tot_size,IAT,Number,Magnitude,Radius,Covariance,Variance,Weight,total_fwd_packets,total_bwd_packets,total_length_fwd_packets,total_length_bwd_packets,fwd_packet_length_mean,fwd_packet_length_max,fwd_packet_length_min,fwd_packet_length_std,bwd_packet_length_mean,bwd_packet_length_max,bwd_packet_length_min,bwd_packet_length_std,flow_bytes_s,flow_packets_s,fwd_iat_mean,fwd_iat_max,fwd_iat_min,fwd_iat_std,bwd_iat_mean,bwd_iat_max,bwd_iat_min,bwd_iat_std,down_up_ratio,label
28095.96061706543,270,6,0.0280959606170654,177.96152507997928,177.96152507997928,0.0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,453,54,237,90.6,81.8400879764923,453,7023.990154266357,5,90.6,81.8400879764923,0,6697.799999999999,0.1404798030853271,5,0,453,0,90.6,237,54,81.8400879764923,0,0,0,0,16123.314172246124,177.96152507997928,7023.990154266357,16592.025756835938,1329.8988342285156,6859.391830800678,0,0,0,0,0.0,BruteForce_HTTP
20076.03645324707,270,6,0.020076036453247,249.0531441125824,249.0531441125824,0.0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,453,54,237,90.6,81.8400879764923,453,5019.009113311768,5,90.6,81.8400879764923,0,6697.799999999999,0.1003801822662353,5,0,453,0,90.6,237,54,81.8400879764923,0,0,0,0,22564.214856599963,249.0531441125824,5019.009113311768,14161.109924316406,1057.8632354736328,6141.854601747319,0,0,0,0,0.0,BruteForce_HTTP
31491.99485778809,270,6,0.031491994857788,158.77050731714704,158.77050731714704,0.0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,453,54,237,90.6,81.8400879764923,453,7872.998714447021,5,90.6,81.8400879764923,0,6697.799999999999,0.1574599742889404,5,0,453,0,90.6,237,54,81.8400879764923,0,0,0,0,14384.607962933522,158.77050731714704,7872.998714447021,18877.98309326172,1678.9436340332031,7966.582049523813,0,0,0,0,0.0,BruteForce_HTTP
19808.053970336918,270,6,0.0198080539703369,252.42257555879203,252.42257555879203,0.0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,453,54,237,90.6,81.8400879764923,453,4952.0134925842285,5,90.6,81.8400879764923,0,6697.799999999999,0.0990402698516845,5,0,453,0,90.6,237,54,81.8400879764923,0,0,0,0,22869.485345626555,252.42257555879203,4952.0134925842285,15938.997268676758,250.10108947753903,7362.233174154439,0,0,0,0,0.0,BruteForce_HTTP
21600.008010864258,270,6,0.0216000080108642,231.4813956312019,231.4813956312019,0.0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,453,54,237,90.6,81.8400879764923,453,5400.002002716064,5,90.6,81.8400879764923,0,6697.799999999999,0.1080000400543212,5,0,453,0,90.6,237,54,81.8400879764923,0,0,0,0,20972.21444418689,231.4813956312019,5400.002002716064,16805.171966552734,281.8107604980469,7670.220035945691,0,0,0,0,0.0,BruteForce_HTTP
17286.062240600586,270,6,0.0172860622406005,289.2503758465167,289.2503758465167,0.0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,453,54,237,90.6,81.8400879764923,453,4321.5155601501465,5,90.6,81.8400879764923,0,6697.799999999999,0.0864303112030029,5,0,453,0,90.6,237,54,81.8400879764923,0,0,0,0,26206.08405169441,289.2503758465167,4321.5155601501465,11711.12060546875,1668.9300537109375,4929.3462092460695,0,0,0,0,0.0,BruteForce_HTTP
22805.92918395996,270,6,0.0228059291839599,219.24123150906905,219.24123150906905,0.0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,453,54,237,90.6,81.8400879764923,453,5701.48229598999,5,90.6,81.8400879764923,0,6697.799999999999,0.1140296459197998,5,0,453,0,90.6,237,54,81.8400879764923,0,0,0,0,19863.255574721657,219.24123150906905,5701.48229598999,15744.924545288086,790.1191711425781,6820.410588593572,0,0,0,0,0.0,BruteForce_HTTP
21186.113357543945,270,6,0.0211861133575439,236.00364614397768,236.00364614397768,0.0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,453,54,237,90.6,81.8400879764923,453,5296.528339385986,5,90.6,81.8400879764923,0,6697.799999999999,0.1059305667877197,5,0,453,0,90.6,237,54,81.8400879764923,0,0,0,0,21381.930340644376,236.00364614397768,5296.528339385986,16773.93913269043,406.9805145263672,7708.306009561561,0,0,0,0,0.0,BruteForce_HTTP
28599.977493286133,324,6,0.0285999774932861,209.79037488433357,209.79037488433357,0.0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,507,54,237,84.5,74.70943715488693,507,5719.995498657227,6,84.5,74.70943715488693,0,5581.5,0.1715998649597168,6,0,507,0,84.5,237,54,74.70943715488693,0,0,0,0,17727.286677726184,209.79037488433357,5719.995498657227,13441.085815429688,2290.010452270508,4558.737303341188,0,0,0,0,0.0,BruteForce_HTTP
19381.999969482426,270,6,0.0193819999694824,257.9713139961129,257.9713139961129,0.0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,453,54,237,90.6,81.8400879764923,453,4845.4999923706055,5,90.6,81.8400879764923,0,6697.799999999999,0.0969099998474121,5,0,453,0,90.6,237,54,81.8400879764923,0,0,0,0,23372.201048047827,257.9713139961129,4845.4999923706055,13191.938400268557,1880.1689147949216,5565.8084311431385,0,0,0,0,0.0,BruteForce_HTTP
