dst_port,flow_duration,Header_Length,Protocol_Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ece_flag_number,cwr_flag_number,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SSH,IRC,TCP,UDP,DHCP,ICMP,Tot_sum,Min,Max,AVG,Std,Tot_size,IAT,Number,Magnitude,Radius,Covariance,Variance,Weight,total_fwd_packets,total_bwd_packets,total_length_fwd_packets,total_length_bwd_packets,fwd_packet_length_mean,fwd_packet_length_max,fwd_packet_length_min,fwd_packet_length_std,bwd_packet_length_mean,bwd_packet_length_max,bwd_packet_length_min,bwd_packet_length_std,flow_bytes_s,flow_packets_s,fwd_iat_mean,fwd_iat_max,fwd_iat_min,fwd_iat_std,bwd_iat_mean,bwd_iat_max,bwd_iat_min,bwd_iat_std,down_up_ratio,label
21.0,9474261.999130247,1782.0,6.0,9.474261999130247,3.483120901979431,1.794335010110616,1.688785891868815,2.0,2.0,0.0,13.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1782.0,54.0,54.0,54.0,0.0,1782.0,296070.6874728203,33.0,76.36753236814714,0.0,0.0,0.0,312.6506459712982,17.0,16.0,918.0,864.0,54.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,188.0885287068893,3.483120901979431,592131.2570571899,3010270.833969116,2691.030502319336,1112575.882822539,631612.2690836588,2965835.0944519043,149.01161193847656,1116354.38219926,0.9411764705882352,BruteForce_FTP
21.0,6522336.006164551,1296.0,6.0,6.522336006164551,3.679663233742716,1.9931509182773044,1.6865123154654114,2.0,2.0,0.0,9.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1296.0,54.0,54.0,54.0,0.0,1296.0,283579.82635498047,24.0,76.36753236814714,0.0,0.0,0.0,156.53606414794922,13.0,11.0,702.0,594.0,54.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,198.70181462210664,3.679663233742716,543528.0005137125,3204730.033874512,4060.983657836914,1088793.3061683353,651844.0008163452,3148782.968521118,125.885009765625,1143155.7138333991,0.8461538461538461,BruteForce_FTP
21.0,6415281.057357788,1296.0,6.0,6.415281057357788,3.741067583075572,2.026411607499268,1.7146559755763038,2.0,2.0,0.0,9.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1296.0,54.0,54.0,54.0,0.0,1296.0,278925.2633633821,24.0,76.36753236814714,0.0,0.0,0.0,153.9667453765869,13.0,11.0,702.0,594.0,54.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,202.0176494860809,3.741067583075572,534606.7547798157,3147146.9402313232,3474.950790405273,1065628.5874977347,641206.1929702759,3103173.017501831,175.95291137695312,1121338.2464376832,0.8461538461538461,BruteForce_FTP
21.0,7282835.006713867,1296.0,6.0,7.282835006713867,3.2954199810753626,1.785019156415821,1.510400824659541,2.0,2.0,0.0,9.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1296.0,54.0,54.0,54.0,0.0,1296.0,316645.0002919073,24.0,76.36753236814714,0.0,0.0,0.0,174.7880401611328,13.0,11.0,702.0,594.0,54.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,177.95267897806957,3.2954199810753626,606902.9172261556,3365153.789520264,5381.107330322266,1220831.6965162302,727760.6010437012,3314567.0890808105,98.94371032714844,1288157.649700669,0.8461538461538461,BruteForce_FTP
21.0,10080450.057983398,1782.0,6.0,10.080450057983398,3.273663359292678,1.686432639635622,1.587230719657056,2.0,2.0,0.0,13.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1782.0,54.0,54.0,54.0,0.0,1782.0,315014.0643119812,33.0,76.36753236814714,0.0,0.0,0.0,332.6548519134521,17.0,16.0,918.0,864.0,54.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,176.7778214018046,3.273663359292678,630022.0638513565,3237832.0693969727,4335.880279541016,1189559.3382929307,672024.9970753988,3191783.905029297,99.89738464355467,1194672.9129243763,0.9411764705882352,BruteForce_FTP
21.0,7289319.99206543,1458.0,6.0,7.28931999206543,3.7040492157553846,1.9206181118731624,1.783431103882222,0.0,2.0,0.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1458.0,54.0,54.0,54.0,0.0,1458.0,280358.4612332858,27.0,76.36753236814714,0.0,0.0,0.0,196.8116397857666,14.0,13.0,756.0,702.0,54.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,200.0186576507908,3.7040492157553846,556846.4535933274,3359981.060028076,4262.9241943359375,1133836.3446901557,607436.4185333252,3291332.960128784,97.03636169433594,1143566.659027798,0.9285714285714286,BruteForce_FTP
21.0,6382835.865020752,1296.0,6.0,6.382835865020752,3.760084154995261,2.036712250622433,1.723371904372828,2.0,2.0,0.0,9.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1296.0,54.0,54.0,54.0,0.0,1296.0,277514.6028269892,24.0,76.36753236814714,0.0,0.0,0.0,153.18806076049805,13.0,11.0,702.0,594.0,54.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,203.0445443697441,3.760084154995261,531902.9887517294,2747934.8182678223,15455.961227416992,1037335.9217578912,635958.5046768188,2658452.9876708984,188.1122589111328,1069204.158957139,0.8461538461538461,BruteForce_FTP
21.0,6211304.903030396,1296.0,6.0,6.211304903030396,3.863922376164594,2.092957953755822,1.7709644224087724,2.0,2.0,0.0,9.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1296.0,54.0,54.0,54.0,0.0,1296.0,270056.73491436505,24.0,76.36753236814714,0.0,0.0,0.0,149.0713176727295,13.0,11.0,702.0,594.0,54.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,208.65180831288808,3.863922376164594,517608.7419191997,2966183.90083313,2106.904983520508,1026431.3413070492,620933.5088729858,2916940.927505493,148.0579376220703,1077197.4636649478,0.8461538461538461,BruteForce_FTP
21.0,9479707.00263977,1782.0,6.0,9.47970700263977,3.4811202488442565,1.7933043706167382,1.6878158782275183,2.0,2.0,0.0,13.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1782.0,54.0,54.0,54.0,0.0,1782.0,296240.8438324928,33.0,76.36753236814714,0.0,0.0,0.0,312.8303310871124,17.0,16.0,918.0,864.0,54.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,187.98049343758987,3.4811202488442565,592472.3744392395,3529770.851135254,2839.0884399414062,1130660.355507515,631972.9963938395,3485229.015350342,123.9776611328125,1136272.4099153727,0.9411764705882352,BruteForce_FTP
21.0,10080556.1542511,1782.0,6.0,10.0805561542511,3.273628904500818,1.686414890197391,1.5872140143034268,2.0,2.0,0.0,13.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1782.0,54.0,54.0,54.0,0.0,1782.0,315017.37982034683,33.0,76.36753236814714,0.0,0.0,0.0,332.65835309028625,17.0,16.0,918.0,864.0,54.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,176.77596084304415,3.273628904500818,630028.1882286072,3573081.016540528,2816.915512084961,1203470.899687128,672032.0701599121,3521214.008331299,63.18092346191406,1208478.938205622,0.9411764705882352,BruteForce_FTP
