dst_port,flow_duration,Header_Length,Protocol_Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ece_flag_number,cwr_flag_number,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SSH,IRC,TCP,UDP,DHCP,ICMP,Tot_sum,Min,Max,AVG,Std,Tot_size,IAT,Number,Magnitude,Radius,Covariance,Variance,Weight,total_fwd_packets,total_bwd_packets,total_length_fwd_packets,total_length_bwd_packets,fwd_packet_length_mean,fwd_packet_length_max,fwd_packet_length_min,fwd_packet_length_std,bwd_packet_length_mean,bwd_packet_length_max,bwd_packet_length_min,bwd_packet_length_std,flow_bytes_s,flow_packets_s,fwd_iat_mean,fwd_iat_max,fwd_iat_min,fwd_iat_std,bwd_iat_mean,bwd_iat_max,bwd_iat_min,bwd_iat_std,down_up_ratio,label
2244.0,20191044.092178345,2214.0,6.0,20.191044092178345,2.03060326216031,0.8419574501640309,1.188645811996279,2.0,2.0,0.0,23.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5899.0,54.0,1134.0,143.8780487804878,228.83380378802772,5899.0,504776.1023044586,41.0,205.09345359334003,327.0831063850951,56175.91176470589,52364.90975609758,827.8328077793121,17.0,24.0,2565.0,3334.0,150.88235294117646,1030.0,54.0,229.11184014388613,138.91666666666666,1134.0,54.0,233.43333778277216,292.1592352069187,2.03060326216031,1261940.2557611463,3983556.032180786,744.8196411132812,1749186.9906823628,877384.6937262494,3974812.030792236,173.80714416503906,1552849.9248799,1.411764705882353,BruteForce_SSH
2244.0,12250945.806503296,1836.0,6.0,12.250945806503296,2.7752959271072304,1.142768911161801,1.6325270159454297,0.0,2.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5333.0,54.0,1134.0,156.85294117647058,249.51008145696863,5333.0,371240.7820152514,34.0,224.4073600961121,357.51809824480955,67414.89010989013,62255.28074866312,416.53215742111206,14.0,20.0,2343.0,2990.0,167.35714285714286,1030.0,54.0,250.5881104499994,149.5,1134.0,54.0,254.99958720296823,435.3133288018488,2.7752959271072304,942370.6898322472,4002084.016799927,392.913818359375,1535034.3101982072,644777.3607153641,3974677.085876465,200.0331878662109,1320739.5703841213,1.4285714285714286,BruteForce_SSH
22.0,3710773.944854736,1350.0,6.0,3.710773944854736,6.737139036632603,2.964341176118345,3.772797860514258,0.0,2.0,0.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5058.0,54.0,1502.0,202.32,353.8171279064935,5058.0,154615.581035614,25.0,303.15639800751785,518.5161399730846,15555.490909090911,125186.56,92.7693486213684,11.0,14.0,2846.0,2212.0,258.72727272727275,1502.0,54.0,429.4138076282808,158.0,1134.0,54.0,290.6247911496355,1363.057969891508,6.737139036632603,371065.4020309448,2985878.229141236,169.0387725830078,929761.7864239884,285436.4651900071,2935994.1482543945,201.94053649902344,805427.1014608683,1.2727272727272727,BruteForce_SSH
22.0,3351392.0307159424,1512.0,6.0,3.3513920307159424,8.354737298226041,4.177368649113021,4.177368649113021,2.0,2.0,0.0,11.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5072.0,54.0,1502.0,181.14285714285717,337.7438997212855,5072.0,124125.63076725711,28.0,258.2569516222642,485.5543110826935,104646.15384615386,114070.94179894176,93.8389768600464,14.0,14.0,2860.0,2212.0,204.28571428571428,1502.0,54.0,388.9732892888917,158.0,1134.0,54.0,290.6247911496355,1513.4009848786602,8.354737298226041,257799.3869781494,2983078.0029296875,167.1314239501953,820190.1943460762,257547.37854003903,2934805.154800415,385.9996795654297,805623.80929594,1.0,BruteForce_SSH
22.0,9930299.997329712,1188.0,6.0,9.930299997329712,2.215441628743932,1.107720814371966,1.107720814371966,2.0,2.0,0.0,9.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2960.0,54.0,1134.0,134.54545454545453,229.04953244154055,2960.0,472871.428444272,22.0,195.5243004491148,328.5520852578366,-5024.290909090909,52463.68831168835,218.4665999412537,11.0,11.0,1130.0,1830.0,102.72727272727272,202.0,54.0,66.20738766797993,166.36363636363637,1134.0,54.0,321.81214169986583,298.0776009582745,2.215441628743932,993029.9997329712,3029783.9641571045,26166.915893554688,1400484.6816873471,989747.69115448,2981734.9910736084,26534.080505371094,1367216.0896256357,1.0,BruteForce_SSH
22.0,7695065.021514893,972.0,6.0,7.695065021514893,2.3391615210103085,1.0396273426712483,1.2995341783390604,2.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1676.0,54.0,202.0,93.11111111111111,54.45871494983084,1676.0,452650.8836185231,18.0,138.4377116251204,76.39745695094457,44.0,2965.7516339869294,138.51117038726807,8.0,10.0,936.0,740.0,117.0,202.0,54.0,71.8649527139024,74.0,106.0,54.0,25.92296279363144,217.8019282896265,2.3391615210103085,1099295.003073556,3020792.007446289,381.2313079833984,1427803.8221594004,849639.203813341,2981394.052505493,214.09988403320312,1287836.150471496,1.25,BruteForce_SSH
2244.0,16229357.957839966,2268.0,6.0,16.229357957839966,2.5879027444650657,1.047484444188241,1.5404183002768248,2.0,2.0,0.0,23.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5961.0,54.0,1134.0,141.92857142857142,226.44424208515247,5961.0,395837.9989717065,42.0,203.15851742609308,324.0126710182677,56117.26470588237,51276.99477351916,681.6330342292786,17.0,25.0,2573.0,3388.0,151.35294117647058,1030.0,54.0,229.0744805670392,135.52,1134.0,54.0,229.14862716877303,367.2973395180061,2.5879027444650657,1014334.872364998,3984934.091567993,255.10787963867188,1442589.7488426685,676172.2067991892,3974720.001220703,154.97207641601562,1255912.9565263644,1.4705882352941178,BruteForce_SSH
22.0,6654093.027114868,1566.0,6.0,6.654093027114868,4.358219802733061,1.9536847391562,2.4045350635768616,2.0,2.0,0.0,13.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5326.0,54.0,1502.0,183.6551724137931,331.1046744138765,5326.0,237646.17953981672,29.0,271.3151027591481,483.2963469491146,15897.333333333334,109630.3054187192,192.9686977863312,13.0,16.0,2954.0,2372.0,227.23076923076923,1502.0,54.0,399.4675943982928,148.25,1134.0,54.0,272.03124820505457,800.4096092881477,4.358219802733061,554507.7522595724,2988988.161087036,336.8854522705078,1140935.0753824422,442759.1323852539,2981514.9307250977,406.02684020996094,1026889.101420619,1.2307692307692308,BruteForce_SSH
22.0,346345.9014892578,1188.0,6.0,0.3463459014892578,63.5203128011675,28.87286945507613,34.647443346091364,0.0,2.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4696.0,54.0,1502.0,213.45454545454547,376.0998762072608,4696.0,16492.661975678944,22.0,314.8783257069308,550.3612991444435,16704.000000000004,141451.1168831169,7.619609832763672,10.0,12.0,2644.0,2052.0,264.4,1502.0,54.0,452.2072287986756,171.0,1134.0,54.0,313.6975961307033,13558.699496103753,63.5203128011675,33762.878841824,135797.97744750977,140.19012451171875,52578.82311008976,31475.91244090687,130620.95642089844,264.88304138183594,41097.180820467605,1.2,BruteForce_SSH
22.0,9519088.983535768,1728.0,6.0,9.519088983535768,3.361666232487926,1.4707289767134677,1.8909372557744584,2.0,2.0,0.0,15.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5688.0,54.0,1502.0,177.75,315.8046558319894,5688.0,307067.3865656699,32.0,265.7162997022156,461.74292217607695,14876.307692307688,99732.58064516127,304.61084747314453,14.0,18.0,3156.0,2532.0,225.42857142857144,1502.0,54.0,383.8552840861763,140.66666666666666,1134.0,54.0,256.6352412643741,597.5361728247289,3.361666232487926,732237.6141181359,2991312.026977539,206.94732666015625,1288963.3604999783,559104.0639316335,2981283.903121948,264.16778564453125,1150044.3721459175,1.2857142857142858,BruteForce_SSH
