dst_port,flow_duration,Header_Length,Protocol_Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ece_flag_number,cwr_flag_number,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SSH,IRC,TCP,UDP,DHCP,ICMP,Tot_sum,Min,Max,AVG,Std,Tot_size,IAT,Number,Magnitude,Radius,Covariance,Variance,Weight,total_fwd_packets,total_bwd_packets,total_length_fwd_packets,total_length_bwd_packets,fwd_packet_length_mean,fwd_packet_length_max,fwd_packet_length_min,fwd_packet_length_std,bwd_packet_length_mean,bwd_packet_length_max,bwd_packet_length_min,bwd_packet_length_std,flow_bytes_s,flow_packets_s,fwd_iat_mean,fwd_iat_max,fwd_iat_min,fwd_iat_std,bwd_iat_mean,bwd_iat_max,bwd_iat_min,bwd_iat_std,down_up_ratio,label
80.0,6770.133972167969,540.0,6.0,0.0067701339721679,1477.0756444569658,1477.0756444569658,0.0,0.0,4.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,752.2371080186632,10.0,54.0,0.0,0.0,0.0,0.0677013397216796,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,79762.08480067615,1477.0756444569658,752.2371080186632,1791.9540405273438,196.93374633789065,539.5000549456614,0.0,0.0,0.0,0.0,0.0,DoS_SYN_Flood
80.0,7688.045501708984,540.0,6.0,0.0076880455017089,1300.72070954537,1300.72070954537,0.0,0.0,4.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,854.2272779676649,10.0,54.0,0.0,0.0,0.0,0.0768804550170898,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,70238.91831544998,1300.72070954537,854.2272779676649,2854.8240661621094,125.16975402832033,974.3547959821374,0.0,0.0,0.0,0.0,0.0,DoS_SYN_Flood
80.0,9279.012680053713,540.0,6.0,0.0092790126800537,1077.700865900974,1077.700865900974,0.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,1031.0014088948567,10.0,54.0,0.0,0.0,0.0,0.0927901268005371,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,58195.84675865259,1077.700865900974,1031.0014088948567,2659.0824127197266,204.0863037109375,944.3106366256748,0.0,0.0,0.0,0.0,0.0,DoS_SYN_Flood
80.0,8167.028427124023,540.0,6.0,0.008167028427124,1224.435556853014,1224.435556853014,0.0,0.0,7.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,907.4476030137804,10.0,54.0,0.0,0.0,0.0,0.0816702842712402,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,66119.52007006276,1224.435556853014,907.4476030137804,2552.9861450195312,197.1721649169922,805.4455855620664,0.0,0.0,0.0,0.0,0.0,DoS_SYN_Flood
80.0,12234.926223754885,540.0,6.0,0.0122349262237548,817.3322680593176,817.3322680593176,0.0,0.0,6.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,1359.436247083876,10.0,54.0,0.0,0.0,0.0,0.1223492622375488,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,44135.94247520315,817.3322680593176,1359.436247083876,2351.045608520508,546.9322204589844,633.1479474391332,0.0,0.0,0.0,0.0,0.0,DoS_SYN_Flood
80.0,10804.891586303713,540.0,6.0,0.0108048915863037,925.506741101966,925.506741101966,0.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,1200.5435095893013,10.0,54.0,0.0,0.0,0.0,0.1080489158630371,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,49977.36401950617,925.506741101966,1200.5435095893013,4271.030426025391,123.9776611328125,1328.7221430021946,0.0,0.0,0.0,0.0,0.0,DoS_SYN_Flood
80.0,45145.98846435547,540.0,6.0,0.0451459884643554,221.50362280572045,221.50362280572045,0.0,0.0,9.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,5016.220940483941,10.0,54.0,0.0,0.0,0.0,0.4514598846435547,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,11961.195631508905,221.50362280572045,5016.220940483941,18207.788467407227,185.96649169921875,6562.574964730564,0.0,0.0,0.0,0.0,0.0,DoS_SYN_Flood
80.0,10051.01203918457,540.0,6.0,0.0100510120391845,994.924686291719,994.924686291719,0.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,1116.7791154649522,10.0,54.0,0.0,0.0,0.0,0.1005101203918457,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,53725.93305975283,994.924686291719,1116.7791154649522,2990.007400512696,128.03077697753906,1009.9142071767108,0.0,0.0,0.0,0.0,0.0,DoS_SYN_Flood
80.0,9510.993957519531,540.0,6.0,0.0095109939575195,1051.414820014038,1051.414820014038,0.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,1056.777106391059,10.0,54.0,0.0,0.0,0.0,0.0951099395751953,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,56776.40028075805,1051.414820014038,1056.777106391059,1930.9520721435547,217.19932556152344,601.4881886668966,0.0,0.0,0.0,0.0,0.0,DoS_SYN_Flood
80.0,14742.85125732422,540.0,6.0,0.0147428512573242,678.2948444271946,678.2948444271946,0.0,0.0,4.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,1638.0945841471355,10.0,54.0,0.0,0.0,0.0,0.1474285125732422,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,36627.9215990685,678.2948444271946,1638.0945841471355,7011.890411376953,203.847885131836,2090.151569783834,0.0,0.0,0.0,0.0,0.0,DoS_SYN_Flood
