dst_port,flow_duration,Header_Length,Protocol_Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ece_flag_number,cwr_flag_number,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SSH,IRC,TCP,UDP,DHCP,ICMP,Tot_sum,Min,Max,AVG,Std,Tot_size,IAT,Number,Magnitude,Radius,Covariance,Variance,Weight,total_fwd_packets,total_bwd_packets,total_length_fwd_packets,total_length_bwd_packets,fwd_packet_length_mean,fwd_packet_length_max,fwd_packet_length_min,fwd_packet_length_std,bwd_packet_length_mean,bwd_packet_length_max,bwd_packet_length_min,bwd_packet_length_std,flow_bytes_s,flow_packets_s,fwd_iat_mean,fwd_iat_max,fwd_iat_min,fwd_iat_std,bwd_iat_mean,bwd_iat_max,bwd_iat_min,bwd_iat_std,down_up_ratio,label
110.0,1240458.0116271973,540.0,6.0,1.2404580116271973,8.061538485194099,8.061538485194099,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,137828.66795857748,10.0,54.0,0.0,0.0,0.0,12.404580116271973,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,435.32307820048135,8.061538485194099,137828.66795857748,1229804.9926757812,124.93133544921876,409501.0036285764,0.0,0.0,0.0,0.0,0.0,Recon_Nmap_OS
878.0,7555.007934570312,540.0,6.0,0.0075550079345703,1323.625347134562,1323.625347134562,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,839.445326063368,10.0,54.0,0.0,0.0,0.0,0.0755500793457031,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,71475.76874526635,1323.625347134562,839.445326063368,3313.0645751953125,164.031982421875,1108.7054731949877,0.0,0.0,0.0,0.0,0.0,Recon_Nmap_OS
5530.0,4284.143447875977,540.0,6.0,0.0042841434478759,2334.1888808503536,2334.1888808503536,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,476.0159386528863,10.0,54.0,0.0,0.0,0.0,0.0428414344787597,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,126046.19956591909,2334.1888808503536,476.0159386528863,2526.998519897461,149.9652862548828,773.3434823265073,0.0,0.0,0.0,0.0,0.0,Recon_Nmap_OS
5769.0,16034.841537475586,540.0,6.0,0.0160348415374755,623.6419597055981,623.6419597055981,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,1781.6490597195095,10.0,54.0,0.0,0.0,0.0,0.1603484153747558,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,33676.665824102296,623.6419597055981,1781.6490597195095,7272.005081176758,148.0579376220703,2530.0728005742308,0.0,0.0,0.0,0.0,0.0,Recon_Nmap_OS
1031.0,8831.977844238281,540.0,6.0,0.0088319778442382,1132.2492171471763,1132.2492171471763,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,981.3308715820312,10.0,54.0,0.0,0.0,0.0,0.0883197784423828,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,61141.45772594752,1132.2492171471763,981.3308715820312,6814.956665039063,149.9652862548828,2190.657520112177,0.0,0.0,0.0,0.0,0.0,Recon_Nmap_OS
5002.0,12696.027755737305,540.0,6.0,0.0126960277557373,787.6479314942443,787.6479314942443,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,1410.6697506374785,10.0,54.0,0.0,0.0,0.0,0.126960277557373,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,42532.98830068919,787.6479314942443,1410.6697506374785,7544.040679931641,149.9652862548828,2555.320960408568,0.0,0.0,0.0,0.0,0.0,Recon_Nmap_OS
4178.0,6906.032562255859,540.0,6.0,0.0069060325622558,1448.009390319685,1448.009390319685,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,767.3369513617622,10.0,54.0,0.0,0.0,0.0,0.0690603256225586,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,78192.507077263,1448.009390319685,767.3369513617622,2973.794937133789,159.97886657714844,1037.7702797256468,0.0,0.0,0.0,0.0,0.0,Recon_Nmap_OS
1121.0,6910.085678100586,540.0,6.0,0.0069100856781005,1447.1600593451333,1447.1600593451333,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,767.7872975667318,10.0,54.0,0.0,0.0,0.0,0.0691008567810058,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,78146.6432046372,1447.1600593451333,767.7872975667318,2688.884735107422,171.18453979492188,1023.4567674523934,0.0,0.0,0.0,0.0,0.0,Recon_Nmap_OS
4037.0,9557.008743286133,540.0,6.0,0.0095570087432861,1046.352500935512,1046.352500935512,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,1061.889860365126,10.0,54.0,0.0,0.0,0.0,0.0955700874328613,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,56503.03505051765,1046.352500935512,1061.889860365126,4797.935485839844,153.06472778320312,1623.875210075857,0.0,0.0,0.0,0.0,0.0,Recon_Nmap_OS
7491.0,13005.01823425293,540.0,6.0,0.0130050182342529,768.9339468715053,768.9339468715053,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,1445.0020260281033,10.0,54.0,0.0,0.0,0.0,0.1300501823425293,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,41522.43313106128,768.9339468715053,1445.0020260281033,10630.84602355957,152.11105346679688,3446.815237217281,0.0,0.0,0.0,0.0,0.0,Recon_Nmap_OS
