dst_port,flow_duration,Header_Length,Protocol_Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ece_flag_number,cwr_flag_number,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SSH,IRC,TCP,UDP,DHCP,ICMP,Tot_sum,Min,Max,AVG,Std,Tot_size,IAT,Number,Magnitude,Radius,Covariance,Variance,Weight,total_fwd_packets,total_bwd_packets,total_length_fwd_packets,total_length_bwd_packets,fwd_packet_length_mean,fwd_packet_length_max,fwd_packet_length_min,fwd_packet_length_std,bwd_packet_length_mean,bwd_packet_length_max,bwd_packet_length_min,bwd_packet_length_std,flow_bytes_s,flow_packets_s,fwd_iat_mean,fwd_iat_max,fwd_iat_min,fwd_iat_std,bwd_iat_mean,bwd_iat_max,bwd_iat_min,bwd_iat_std,down_up_ratio,label
80.0,191447.9732513428,540.0,6.0,0.1914479732513427,52.23351195717013,52.23351195717013,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,21271.997027926976,10.0,54.0,0.0,0.0,0.0,1.914479732513428,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,2820.609645687187,52.23351195717013,21271.997027926976,65177.91748046875,1256.9427490234375,18501.130004579594,0.0,0.0,0.0,0.0,0.0,Spoofing_HTTP
80.0,88158.84590148926,540.0,6.0,0.0881588459014892,113.43161196976456,113.43161196976456,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,9795.427322387695,10.0,54.0,0.0,0.0,0.0,0.8815884590148926,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,6125.307046367288,113.43161196976456,9795.427322387695,20326.13754272461,415.0867462158203,9266.4094813651,0.0,0.0,0.0,0.0,0.0,Spoofing_HTTP
80.0,14974.117279052734,540.0,6.0,0.0149741172790527,667.8189981848868,667.8189981848868,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,1663.7908087836372,10.0,54.0,0.0,0.0,0.0,0.1497411727905273,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,36062.22590198389,667.8189981848868,1663.7908087836372,2519.845962524414,410.0799560546875,732.2403523957367,0.0,0.0,0.0,0.0,0.0,Spoofing_HTTP
80.0,15264.98794555664,540.0,6.0,0.0152649879455566,655.0938681160778,655.0938681160778,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,1696.1097717285156,10.0,54.0,0.0,0.0,0.0,0.1526498794555664,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,35375.068878268205,655.0938681160778,1696.1097717285156,4205.942153930664,355.9589385986328,1116.7616466130085,0.0,0.0,0.0,0.0,0.0,Spoofing_HTTP
80.0,10776.042938232422,540.0,6.0,0.0107760429382324,927.9844240895616,927.9844240895616,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,1197.3381042480469,10.0,54.0,0.0,0.0,0.0,0.1077604293823242,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,50111.15890083632,927.9844240895616,1197.3381042480469,2208.948135375977,366.9261932373047,662.2087730136435,0.0,0.0,0.0,0.0,0.0,Spoofing_HTTP
80.0,17159.93881225586,540.0,6.0,0.0171599388122558,582.7526606830244,582.7526606830244,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,1906.6598680284287,10.0,54.0,0.0,0.0,0.0,0.1715993881225586,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,31468.64367688332,582.7526606830244,1906.6598680284287,2683.877944946289,1474.8573303222656,335.22984279419524,0.0,0.0,0.0,0.0,0.0,Spoofing_HTTP
80.0,42922.019958496094,540.0,6.0,0.042922019958496,232.98064745484035,232.98064745484035,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,4769.113328721788,10.0,54.0,0.0,0.0,0.0,0.4292201995849609,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,12580.95496256138,232.98064745484035,4769.113328721788,19541.025161743164,1258.1348419189453,6251.221708287276,0.0,0.0,0.0,0.0,0.0,Spoofing_HTTP
80.0,88473.08158874512,540.0,6.0,0.0884730815887451,113.02872942171967,113.02872942171967,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,9830.342398749455,10.0,54.0,0.0,0.0,0.0,0.8847308158874512,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,6103.551388772862,113.02872942171967,9830.342398749455,24061.918258666992,656.1279296875,10319.95770554816,0.0,0.0,0.0,0.0,0.0,Spoofing_HTTP
80.0,136482.00035095215,540.0,6.0,0.1364820003509521,73.26973501476992,73.26973501476992,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,15164.66670566135,10.0,54.0,0.0,0.0,0.0,1.3648200035095217,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,3956.565690797576,73.26973501476992,15164.66670566135,28128.14712524414,4071.950912475586,8564.266156428142,0.0,0.0,0.0,0.0,0.0,Spoofing_HTTP
80.0,38691.043853759766,540.0,6.0,0.0386910438537597,258.4577463920829,258.4577463920829,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,4299.004872639974,10.0,54.0,0.0,0.0,0.0,0.3869104385375976,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,13956.718305172477,258.4577463920829,4299.004872639974,20143.03207397461,655.1742553710938,6059.463778352797,0.0,0.0,0.0,0.0,0.0,Spoofing_HTTP
80.0,13627.052307128906,540.0,6.0,0.0136270523071289,733.8344180838407,733.8344180838407,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,1514.116923014323,10.0,54.0,0.0,0.0,0.0,0.136270523071289,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,39627.0585765274,733.8344180838407,1514.116923014323,2226.8295288085938,1241.922378540039,295.9742443489451,0.0,0.0,0.0,0.0,0.0,Spoofing_HTTP
80.0,12863.1591796875,540.0,6.0,0.0128631591796875,777.4139976275208,777.4139976275208,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,1429.2399088541667,10.0,54.0,0.0,0.0,0.0,0.128631591796875,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,41980.35587188613,777.4139976275208,1429.2399088541667,2151.012420654297,211.0004425048828,668.7013193728139,0.0,0.0,0.0,0.0,0.0,Spoofing_HTTP
80.0,14054.059982299805,540.0,6.0,0.0140540599822998,711.538161399223,711.538161399223,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,1561.562220255534,10.0,54.0,0.0,0.0,0.0,0.140540599822998,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,38423.06071555805,711.538161399223,1561.562220255534,2414.9417877197266,252.0084381103516,585.0363704443066,0.0,0.0,0.0,0.0,0.0,Spoofing_HTTP
80.0,93190.19317626952,540.0,6.0,0.0931901931762695,107.30742859481974,107.30742859481974,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,10354.465908474393,10.0,54.0,0.0,0.0,0.0,0.9319019317626952,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,5794.601144120265,107.30742859481974,10354.465908474393,44386.14845275879,1137.0182037353516,15034.452730216186,0.0,0.0,0.0,0.0,0.0,Spoofing_HTTP
80.0,16749.858856201172,540.0,6.0,0.0167498588562011,597.0199561590799,597.0199561590799,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,1861.0954284667969,10.0,54.0,0.0,0.0,0.0,0.1674985885620117,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,32239.077632590317,597.0199561590799,1861.0954284667969,3422.0218658447266,411.03363037109375,856.2385702115248,0.0,0.0,0.0,0.0,0.0,Spoofing_HTTP
80.0,17652.034759521484,540.0,6.0,0.0176520347595214,566.5069288743618,566.5069288743618,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,1961.3371955023872,10.0,54.0,0.0,0.0,0.0,0.1765203475952148,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,30591.37415921554,566.5069288743618,1961.3371955023872,2681.970596313477,646.1143493652344,616.3622808802063,0.0,0.0,0.0,0.0,0.0,Spoofing_HTTP
