dst_port,flow_duration,Header_Length,Protocol_Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ece_flag_number,cwr_flag_number,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SSH,IRC,TCP,UDP,DHCP,ICMP,Tot_sum,Min,Max,AVG,Std,Tot_size,IAT,Number,Magnitude,Radius,Covariance,Variance,Weight,total_fwd_packets,total_bwd_packets,total_length_fwd_packets,total_length_bwd_packets,fwd_packet_length_mean,fwd_packet_length_max,fwd_packet_length_min,fwd_packet_length_std,bwd_packet_length_mean,bwd_packet_length_max,bwd_packet_length_min,bwd_packet_length_std,flow_bytes_s,flow_packets_s,fwd_iat_mean,fwd_iat_max,fwd_iat_min,fwd_iat_std,bwd_iat_mean,bwd_iat_max,bwd_iat_min,bwd_iat_std,down_up_ratio,label
23.0,10199.06997680664,540.0,6.0,0.0101990699768066,980.4815559399692,980.4815559399692,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,1133.22999742296,10.0,54.0,0.0,0.0,0.0,0.1019906997680664,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,52946.00402075834,980.4815559399692,1133.22999742296,2779.0069580078125,401.0200500488281,790.5297541750746,0.0,0.0,0.0,0.0,0.0,Spoofing_Telnet
23.0,14525.175094604492,540.0,6.0,0.0145251750946044,688.4598591664889,688.4598591664889,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,1613.9083438449436,10.0,54.0,0.0,0.0,0.0,0.1452517509460449,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,37176.8323949904,688.4598591664889,1613.9083438449436,2696.990966796875,456.09474182128906,612.417717625153,0.0,0.0,0.0,0.0,0.0,Spoofing_Telnet
23.0,13452.05307006836,540.0,6.0,0.0134520530700683,743.3809506929921,743.3809506929921,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,1494.6725633409287,10.0,54.0,0.0,0.0,0.0,0.1345205307006836,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,40142.57133742157,743.3809506929921,1494.6725633409287,2175.0926971435547,195.9800720214844,662.5853863996449,0.0,0.0,0.0,0.0,0.0,Spoofing_Telnet
23.0,16901.016235351562,540.0,6.0,0.0169010162353515,591.6803972463605,591.6803972463605,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,1877.8906928168403,10.0,54.0,0.0,0.0,0.0,0.1690101623535156,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,31950.741451303464,591.6803972463605,1877.8906928168403,3852.128982543945,718.8320159912109,959.3601612140268,0.0,0.0,0.0,0.0,0.0,Spoofing_Telnet
23.0,117632.1506500244,540.0,6.0,0.1176321506500244,85.0107725204455,85.0107725204455,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,13070.238961113824,10.0,54.0,0.0,0.0,0.0,1.176321506500244,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,4590.581716104057,85.0107725204455,13070.238961113824,24171.113967895508,1661.062240600586,9372.147591431789,0.0,0.0,0.0,0.0,0.0,Spoofing_Telnet
23.0,94887.97187805176,540.0,6.0,0.0948879718780517,105.38743533112724,105.38743533112724,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,10543.107986450195,10.0,54.0,0.0,0.0,0.0,0.9488797187805176,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,5690.921507880871,105.38743533112724,10543.107986450195,20068.883895874023,200.0331878662109,9584.05511464822,0.0,0.0,0.0,0.0,0.0,Spoofing_Telnet
23.0,35757.06481933594,540.0,6.0,0.0357570648193359,279.6650130687577,279.6650130687577,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,3973.0072021484375,10.0,54.0,0.0,0.0,0.0,0.3575706481933594,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,15101.910705712917,279.6650130687577,3973.0072021484375,20884.990692138672,1087.9039764404297,6358.627213445539,0.0,0.0,0.0,0.0,0.0,Spoofing_Telnet
23.0,13298.988342285156,540.0,6.0,0.0132989883422851,751.9368949444246,751.9368949444246,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,1477.665371365017,10.0,54.0,0.0,0.0,0.0,0.1329898834228515,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,40604.59232699892,751.9368949444246,1477.665371365017,2290.010452270508,291.1090850830078,731.4272920421556,0.0,0.0,0.0,0.0,0.0,Spoofing_Telnet
23.0,14791.011810302734,540.0,6.0,0.0147910118103027,676.0862697056642,676.0862697056642,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,1643.4457567003035,10.0,54.0,0.0,0.0,0.0,0.1479101181030273,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,36508.65856410587,676.0862697056642,1643.4457567003035,2675.0564575195312,482.79762268066406,655.9061339468342,0.0,0.0,0.0,0.0,0.0,Spoofing_Telnet
23.0,15227.079391479492,540.0,6.0,0.0152270793914794,656.7247561338406,656.7247561338406,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,54.0,54.0,54.0,0.0,540.0,1691.897710164388,10.0,54.0,0.0,0.0,0.0,0.1522707939147949,10.0,0.0,540.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,35463.13683122739,656.7247561338406,1691.897710164388,2177.953720092773,588.8938903808594,470.8422877622491,0.0,0.0,0.0,0.0,0.0,Spoofing_Telnet
